[11:34:36] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2026-02-06","2"]
[11:34:36] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["8","2","2026-02-06"]
[11:34:36] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2026-02-06"]
[11:34:36] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["39","2","2026-02-06"]
[11:34:36] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2026-02-06"]
[11:35:01] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2026-01-28","2"]
[11:35:01] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["46","2","2026-01-28"]
[11:35:01] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["20","2","2026-01-28"]
[11:35:01] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2026-01-28"]
[11:35:01] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["8","2","2026-01-28"]
[11:35:01] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2026-01-28"]
[11:35:01] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2026-01-28"]
[11:35:01] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2026-01-28"]
[11:35:01] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2026-01-28"]
[11:38:35] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2026-01-23","2"]
