[22:23:27] login_id: 3 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-11-19","2"]
[22:23:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["46","2","2025-11-19"]
[22:23:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-11-19"]
[22:23:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2025-11-19"]
[22:23:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["8","2","2025-11-19"]
[22:23:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["21","2","2025-11-19"]
[22:23:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["19","2","2025-11-19"]
[22:23:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2025-11-19"]
[22:23:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-11-19"]
[22:23:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-11-19"]
[22:23:27] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-11-19"]
